Column1,Column2,Column3
2800.0,2.3e-6,0.0032021
2800.0,2.4e-6,0.0033244
2800.0,2.5e-6,0.0031104
2800.0,2.4e-6,0.0031922
2800.0,2.5e-6,0.0032597
2800.0,2.4e-6,0.0035083
2800.0,2.3e-6,0.0028421
2800.0,2.6e-6,0.0041181
2880.0,3.6e-6,0.0028282
2880.0,2.5e-6,0.0031921
2880.0,2.1e-6,0.0032039
2880.0,2.4e-6,0.0031791
2880.0,2.2e-6,0.0035499
2880.0,2.3e-6,0.0032681
2880.0,2.7e-6,0.0028383
2880.0,2.4e-6,0.0034868
2880.0,2.4e-6,0.0034376
2880.0,2.2e-6,0.0032525
2960.0,2.5e-6,0.0037085
2960.0,2.6e-6,0.0034899
2960.0,2.3e-6,0.0037219
2960.0,2.5e-6,0.0039642
2960.0,2.3e-6,0.003704
2960.0,2.3e-6,0.0029715
2960.0,2.3e-6,0.0031252
2960.0,2.5e-6,0.0029563
2960.0,2.6e-6,0.0036087
2960.0,2.7e-6,0.003086
3040.0,2.4e-6,0.0030555
3040.0,2.5e-6,0.0032736
3040.0,2.4e-6,0.0034621
3040.0,2.5e-6,0.0031371
3040.0,2.5e-6,0.0032489
3040.0,2.5e-6,0.0034936
3040.0,2.7e-6,0.003551
3040.0,3.0e-6,0.0030894
3040.0,2.4e-6,0.0030763
3040.0,2.6e-6,0.0032387
3120.0,2.7e-6,0.0032355
3120.0,2.5e-6,0.003193
3120.0,2.4e-6,0.0031909
3120.0,2.4e-6,0.0033123
3120.0,2.3e-6,0.0035314
3120.0,2.4e-6,0.003189
3120.0,2.6e-6,0.0032012
3120.0,2.4e-6,0.0032053
3120.0,2.6e-6,0.0033729
3120.0,2.6e-6,0.0033118
3200.0,2.4e-6,0.0034683
3200.0,2.8e-6,0.0037529
3200.0,2.6e-6,0.0040643
3200.0,2.2e-6,0.0036607
3200.0,2.4e-6,0.0038101
3200.0,3.6e-6,0.0035721
3200.0,2.5e-6,0.0044268
3200.0,2.7e-6,0.0035421
3200.0,2.8e-6,0.0046685
3200.0,3.5e-6,0.0038603
3280.0,2.4e-6,0.0051098
3280.0,2.4e-6,0.0050472
3280.0,2.6e-6,0.0036789
3280.0,2.6e-6,0.0040751
3280.0,2.8e-6,0.0036751
3280.0,2.4e-6,0.0042339
3280.0,2.8e-6,0.0038552
3280.0,2.4e-6,0.0040389
3280.0,2.4e-6,0.0037964
3280.0,2.7e-6,0.0040232
3360.0,2.9e-6,0.0036371
3360.0,2.7e-6,0.0038839
3360.0,2.8e-6,0.0037992
3360.0,2.9e-6,0.0037523
3360.0,2.5e-6,0.0040793
3360.0,2.7e-6,0.0037085
3360.0,2.7e-6,0.0036308
3360.0,2.6e-6,0.0036779
3360.0,1.3e-6,0.0044715
3360.0,2.7e-6,0.0041023
3440.0,2.5e-6,0.0043901
3440.0,2.8e-6,0.00445
3440.0,1.7e-6,0.0038967
3440.0,2.6e-6,0.0039321
3440.0,2.7e-6,0.0040546
3440.0,2.6e-6,0.0043499
3440.0,2.4e-6,0.0039007
3440.0,2.4e-6,0.0039502
3440.0,2.4e-6,0.0040345
3440.0,2.3e-6,0.0051632
3520.0,2.9e-6,0.0054023
3520.0,3.0e-6,0.0049867
3520.0,2.6e-6,0.0051492
3520.0,2.6e-6,0.0059009
3520.0,3.1e-6,0.0049712
3520.0,3.1e-6,0.0041898
3520.0,3.0e-6,0.0049261
3520.0,2.4e-6,0.0048136
3520.0,2.6e-6,0.0043956
3520.0,2.5e-6,0.0041775
3600.0,2.8e-6,0.0047971
3600.0,2.6e-6,0.0044226
3600.0,2.8e-6,0.0041522
3600.0,2.7e-6,0.0051669
3600.0,4.2e-6,0.0044772
3600.0,2.6e-6,0.0044329
3600.0,2.6e-6,0.0052292
3600.0,3.7e-6,0.004962
3600.0,2.9e-6,0.0047778
3600.0,2.7e-6,0.0053164
3680.0,2.9e-6,0.0056715
3680.0,2.9e-6,0.0051036
3680.0,2.8e-6,0.0044806
3680.0,2.5e-6,0.0048413
3680.0,3.0e-6,0.0048124
3680.0,2.9e-6,0.0058633
3680.0,3.3e-6,0.0053269
3680.0,2.9e-6,0.0047059
3680.0,3.3e-6,0.0053189
3680.0,2.5e-6,0.0048981
3760.0,3.3e-6,0.0054834
3760.0,2.9e-6,0.0059956
3760.0,2.4e-6,0.0061332
3760.0,3.1e-6,0.0058789
3760.0,2.5e-6,0.0048646
3760.0,3.7e-6,0.0056662
3760.0,2.9e-6,0.0058297
3760.0,2.9e-6,0.0050528
3760.0,3.0e-6,0.0048774
3760.0,2.8e-6,0.0046814
3840.0,2.6e-6,0.0047409
3840.0,3.0e-6,0.0047486
3840.0,2.6e-6,0.0051648
3840.0,2.7e-6,0.0049303
3840.0,2.7e-6,0.0051452
3840.0,2.8e-6,0.0051423
3840.0,2.8e-6,0.0055725
3840.0,2.7e-6,0.0051854
3840.0,2.5e-6,0.0052415
3840.0,2.7e-6,0.0057614
3920.0,2.8e-6,0.0067386
3920.0,3.1e-6,0.0049601
3920.0,3.0e-6,0.0058708
3920.0,3.1e-6,0.0066428
3920.0,2.9e-6,0.006444
3920.0,3.2e-6,0.005033
3920.0,2.6e-6,0.0056778
3920.0,2.6e-6,0.0064
3920.0,2.6e-6,0.0056986
3920.0,3.0e-6,0.0051429
